id,word,definition,type,synonyms,wrong,sentence,imageURL,createdAt,updatedAt
1,deterrent,A thing that discourages or is intended to discourage someone from doing something.,Noun,"[""Disincentive"", ""Discouragement"", ""Dissuasion"", ""Barrier"", ""Hindrance""]","[""Differing"", ""Sneaking"", ""Deceptive"", ""Deceive"", ""Encouragement"", ""Incentive"", ""Catalyst"", ""Help""]",,,8/25/2019 0:00,8/25/2019 0:00
2,dupe,deceive; trick.,Noun,"[""Deceive"", ""Trick"", ""Swindle"", ""Fool""]","[""Avoid"", ""Trust"", ""Help"", ""Differing"", ""Cognizant"", ""Aid"", ""Con Man"", ""Swindler"", ""Notorious"", ""Irascible""]",,,8/25/2019 0:00,8/25/2019 0:00
3,divergent,Tending to be different or develop in different directions.,Noun,"[""Differing"", ""Varying"", ""Different"", ""Dissimilar"", ""Disparate""]","[""Similar"", ""Common"", ""Parallel"", ""Same"", ""Disincentive"", ""Dissuasion"", ""Deceptive"", ""Together""]",,,8/25/2019 0:00,8/25/2019 0:00
4,insidious,"Proceeding in a gradual, subtle way, but with harmful effects.",Noun,"[""Stealthy"", ""Sneaking"", ""Cunning"", ""Crafty"", ""Tricky"", ""Deceitful"", ""Deceptive""]","[""Kind"", ""Discouragement"", ""Honest"", ""Straightforward"", ""Similar"", ""Different"", ""Hindrance"", ""Aberrant"", ""Ephemeral"", ""Irascible""]",,https://media.istockphoto.com/vectors/robber-icon-bandit-vector-id669688108?k=6&m=669688108&s=612x612&w=0&h=gP9MI6zygl91hDZ6EAuGURIircSpxksldTgGl07SxMw=,8/25/2019 0:00,8/25/2019 0:00
5,irascibleÿ,Having or showing a tendency to be easily angered.,Adjective,"[""Irritable"", ""Quick-tempered"", ""Short-tempered"", ""Crabby"", ""Grouchy""]","[""Dissimilar"", ""Patient"", ""Unchangeable"", ""Stubborn"", ""Intelligent"", ""Discerning"", ""Permanent""]",,,8/25/2019 0:00,8/25/2019 0:00
6,occlude,"Stop, close up, or obstruct.",Verb,"[""Block"", ""Stop"", ""Obstruct"", ""Clog"", ""Seal"", ""Plug"", ""Shut""]","[""Visual"", ""Conclude"", ""Transition"", ""Occasion"", ""Diverge"", ""Hide"", ""Extort"", ""Anticipate""]",,,8/25/2019 0:00,8/25/2019 0:00
7,parsimonious,Unwilling to spend money or use resources; stingy or frugal.,Adjective,"[""Stingy"", ""Miserly"", ""Frugal"", ""Cheap"", ""Niggardly"", ""Ungenerous"", ""Penurious"", ""Sparing""]","[""Generous"", ""Lavish"", ""Liberal"", ""Reckless"", ""Constitutional"", ""Parliamentary"", ""Permanent"", ""Temporary"", ""Dissimilar"", ""Sneaking""]",,,8/25/2019 0:00,8/25/2019 0:00
8,ephemeral,Lasting for a very short time.,Adjective,"[""Transitory"", ""Transient"", ""Fleeting"", ""Brief"", ""Momentary"", ""Passing"", ""Short"", ""Temporary"", ""Short-lived""]","[""Spiritual"", ""External"", ""Penurious"", ""Stealthy"", ""Irritable"", ""Obstruct"", ""Dissuasion"", ""Long-lasting"", ""Permanent"", ""Indefinite""]",,,8/25/2019 0:00,8/25/2019 0:00
9,burgeon,Begin to grow or increase rapidly; flourish.,Verb,"[""Boom"", ""Blossom"", ""Expand"", ""Swell"", ""Escalate"", ""Skyrocket"", ""Multiply"", ""Proliferate""]","[""Drunken"", ""Bourgeoisie"", ""Niggardly"", ""Internal"", ""Shrink"", ""Temporary"", ""Cantankerous"", ""Disrupt"", ""Loud"", ""Annoyance""]",,,8/25/2019 0:00,8/25/2019 0:00
10,conciliatory,Intended or likely to placate or pacify.,Adjective,"[""Peacemaking"", ""Placatory"", ""Appeasing"", ""Pacifying"", ""Mollifying"", ""Disarming""]","[""Secret"", ""Sneaky"", ""Deceitful"", ""Antagonistic"", ""Stubborn"", ""Focused"", ""Circular"", ""Private""]",,,8/25/2019 0:00,8/25/2019 0:00
